Logs for Makerere Challenge



Epoch:147, Train L:0.0992, Train A:95.37, Val L:0.1548, Val A:94.44, LR:6.25e-07
Epoch:148, Train L:0.1055, Train A:95.45, Val L:0.1585, Val A:94.14, LR:6.25e-07
Epoch:149, Train L:0.0878, Train A:96.30, Val L:0.1581, Val A:94.14, LR:6.25e-07
Epoch:150, Train L:0.1035, Train A:95.76, Val L:0.1551, Val A:94.14, LR:6.25e-07
Epoch:151, Train L:0.0978, Train A:95.99, Val L:0.1552, Val A:93.83, LR:6.25e-07
Epoch:152, Train L:0.0892, Train A:96.45, Val L:0.1547, Val A:93.83, LR:6.25e-07
Epoch:153, Train L:0.0912, Train A:96.22, Val L:0.1540, Val A:93.83, LR:6.25e-07
Epoch:154, Train L:0.0883, Train A:96.30, Val L:0.1541, Val A:94.14, LR:6.25e-07
Epoch:155, Train L:0.1047, Train A:95.76, Val L:0.1514, Val A:94.14, LR:3.125e-07
Epoch:156, Train L:0.0928, Train A:96.37, Val L:0.1506, Val A:94.44, LR:3.125e-07
Epoch:157, Train L:0.0911, Train A:95.99, Val L:0.1515, Val A:94.14, LR:3.125e-07
Epoch:158, Train L:0.0926, Train A:96.30, Val L:0.1505, Val A:94.44, LR:3.125e-07
Epoch:159, Train L:0.0767, Train A:97.15, Val L:0.1523, Val A:94.14, LR:3.125e-07
Epoch:160, Train L:0.0886, Train A:96.68, Val L:0.1509, Val A:94.44, LR:3.125e-07
Epoch:161, Train L:0.0977, Train A:96.30, Val L:0.1505, Val A:94.44, LR:3.125e-07
Epoch:162, Train L:0.0892, Train A:96.06, Val L:0.1541, Val A:94.75, LR:3.125e-07
Epoch:163, Train L:0.0840, Train A:96.68, Val L:0.1522, Val A:94.14, LR:3.125e-07
Epoch:164, Train L:0.0882, Train A:96.84, Val L:0.1512, Val A:94.44, LR:3.125e-07
Epoch:165, Train L:0.0978, Train A:96.06, Val L:0.1527, Val A:94.14, LR:3.125e-07
Epoch:166, Train L:0.0913, Train A:96.14, Val L:0.1498, Val A:94.75, LR:3.125e-07
Epoch:167, Train L:0.0798, Train A:97.38, Val L:0.1503, Val A:94.44, LR:3.125e-07
Epoch:168, Train L:0.0969, Train A:96.22, Val L:0.1507, Val A:94.75, LR:3.125e-07
Epoch:169, Train L:0.0866, Train A:96.14, Val L:0.1494, Val A:94.44, LR:3.125e-07
Epoch:170, Train L:0.0955, Train A:96.22, Val L:0.1499, Val A:94.75, LR:3.125e-07
Epoch:171, Train L:0.1012, Train A:95.68, Val L:0.1508, Val A:94.14, LR:3.125e-07
Epoch:172, Train L:0.0847, Train A:96.76, Val L:0.1484, Val A:94.44, LR:3.125e-07
Epoch:173, Train L:0.0834, Train A:96.84, Val L:0.1486, Val A:94.44, LR:3.125e-07
Epoch:174, Train L:0.0967, Train A:95.60, Val L:0.1475, Val A:94.75, LR:1.5625e-07
Epoch:175, Train L:0.0830, Train A:96.84, Val L:0.1482, Val A:94.44, LR:1.5625e-07
Epoch:176, Train L:0.0816, Train A:96.68, Val L:0.1489, Val A:94.44, LR:1.5625e-07
Epoch:177, Train L:0.0953, Train A:96.06, Val L:0.1489, Val A:94.75, LR:1.5625e-07
Epoch:178, Train L:0.0936, Train A:96.68, Val L:0.1487, Val A:94.44, LR:1.5625e-07
Epoch:179, Train L:0.0972, Train A:95.91, Val L:0.1484, Val A:94.75, LR:1.5625e-07
Epoch:180, Train L:0.0962, Train A:96.68, Val L:0.1478, Val A:94.75, LR:1.5625e-07
Epoch:181, Train L:0.0906, Train A:96.22, Val L:0.1482, Val A:94.75, LR:1.5625e-07
Epoch:182, Train L:0.0844, Train A:96.53, Val L:0.1484, Val A:94.75, LR:1.5625e-07
Epoch:183, Train L:0.0828, Train A:96.37, Val L:0.1487, Val A:94.75, LR:1.5625e-07
Epoch:184, Train L:0.0825, Train A:96.06, Val L:0.1497, Val A:94.44, LR:1.5625e-07
Epoch:185, Train L:0.0929, Train A:96.30, Val L:0.1488, Val A:94.75, LR:7.8125e-08
Epoch:186, Train L:0.0882, Train A:96.60, Val L:0.1485, Val A:94.75, LR:7.8125e-08
Epoch:187, Train L:0.0827, Train A:96.37, Val L:0.1487, Val A:94.75, LR:7.8125e-08
Epoch:188, Train L:0.0850, Train A:96.53, Val L:0.1487, Val A:94.75, LR:7.8125e-08
Epoch:189, Train L:0.0937, Train A:95.76, Val L:0.1489, Val A:94.75, LR:7.8125e-08
Epoch:190, Train L:0.0835, Train A:96.84, Val L:0.1490, Val A:94.75, LR:7.8125e-08
Epoch:191, Train L:0.0845, Train A:96.68, Val L:0.1493, Val A:94.44, LR:7.8125e-08
Epoch:192, Train L:0.0746, Train A:96.99, Val L:0.1490, Val A:94.75, LR:7.8125e-08
Epoch:193, Train L:0.0965, Train A:95.91, Val L:0.1489, Val A:94.75, LR:7.8125e-08
Epoch:194, Train L:0.0839, Train A:96.14, Val L:0.1490, Val A:94.75, LR:7.8125e-08
Epoch:195, Train L:0.0952, Train A:95.76, Val L:0.1487, Val A:94.75, LR:7.8125e-08
Epoch:196, Train L:0.0822, Train A:96.30, Val L:0.1485, Val A:94.75, LR:3.90625e-08
Epoch:197, Train L:0.0918, Train A:96.06, Val L:0.1486, Val A:94.75, LR:3.90625e-08
Epoch:198, Train L:0.0839, Train A:96.68, Val L:0.1489, Val A:94.75, LR:3.90625e-08
Epoch:199, Train L:0.0966, Train A:95.99, Val L:0.1486, Val A:94.75, LR:3.90625e-08
Epoch:200, Train L:0.0898, Train A:95.99, Val L:0.1488, Val A:94.75, LR:3.90625e-08
Epoch:201, Train L:0.0937, Train A:96.14, Val L:0.1487, Val A:94.75, LR:3.90625e-08
Epoch:202, Train L:0.0852, Train A:96.68, Val L:0.1487, Val A:94.75, LR:3.90625e-08
Epoch:203, Train L:0.0985, Train A:96.30, Val L:0.1486, Val A:94.75, LR:3.90625e-08
Epoch:204, Train L:0.0916, Train A:96.06, Val L:0.1484, Val A:94.75, LR:3.90625e-08
Epoch:205, Train L:0.0891, Train A:96.60, Val L:0.1485, Val A:94.75, LR:3.90625e-08
Epoch:206, Train L:0.0909, Train A:96.22, Val L:0.1484, Val A:94.75, LR:3.90625e-08
Epoch:207, Train L:0.0822, Train A:96.84, Val L:0.1484, Val A:94.75, LR:1.953125e-08
Epoch:208, Train L:0.0811, Train A:96.76, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:209, Train L:0.0827, Train A:96.30, Val L:0.1484, Val A:94.75, LR:1.953125e-08
Epoch:210, Train L:0.0890, Train A:96.91, Val L:0.1484, Val A:94.75, LR:1.953125e-08
Epoch:211, Train L:0.0914, Train A:96.45, Val L:0.1483, Val A:94.75, LR:1.953125e-08
Epoch:212, Train L:0.0708, Train A:97.07, Val L:0.1484, Val A:94.75, LR:1.953125e-08
Epoch:213, Train L:0.0755, Train A:96.68, Val L:0.1483, Val A:94.75, LR:1.953125e-08
Epoch:214, Train L:0.0921, Train A:96.30, Val L:0.1484, Val A:94.75, LR:1.953125e-08
Epoch:215, Train L:0.0919, Train A:96.06, Val L:0.1483, Val A:94.75, LR:1.953125e-08
Epoch:216, Train L:0.0859, Train A:96.37, Val L:0.1483, Val A:94.75, LR:1.953125e-08
Epoch:217, Train L:0.0827, Train A:96.84, Val L:0.1482, Val A:94.75, LR:1.953125e-08
Epoch:218, Train L:0.0856, Train A:96.84, Val L:0.1483, Val A:94.75, LR:1.953125e-08
Epoch:219, Train L:0.0855, Train A:96.60, Val L:0.1484, Val A:94.75, LR:1.953125e-08
Epoch:220, Train L:0.0899, Train A:96.76, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:221, Train L:0.0919, Train A:96.30, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:222, Train L:0.0856, Train A:96.53, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:223, Train L:0.0881, Train A:96.60, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:224, Train L:0.0862, Train A:96.14, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:225, Train L:0.0751, Train A:96.68, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:226, Train L:0.0841, Train A:97.07, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:227, Train L:0.0851, Train A:96.91, Val L:0.1484, Val A:94.75, LR:1.953125e-08
Epoch:228, Train L:0.0825, Train A:96.45, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:229, Train L:0.0796, Train A:96.45, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:230, Train L:0.0888, Train A:96.37, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:231, Train L:0.0882, Train A:96.45, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:232, Train L:0.0893, Train A:96.53, Val L:0.1487, Val A:94.75, LR:1.953125e-08
Epoch:233, Train L:0.0868, Train A:96.60, Val L:0.1489, Val A:94.75, LR:1.953125e-08
Epoch:234, Train L:0.0851, Train A:96.53, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:235, Train L:0.0835, Train A:96.76, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:236, Train L:0.0816, Train A:96.60, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:237, Train L:0.0950, Train A:96.22, Val L:0.1485, Val A:94.75, LR:1.953125e-08
Epoch:238, Train L:0.0953, Train A:95.99, Val L:0.1486, Val A:94.44, LR:1.953125e-08
Epoch:239, Train L:0.0880, Train A:96.30, Val L:0.1486, Val A:94.75, LR:1.953125e-08
Epoch:240, Train L:0.0806, Train A:96.91, Val L:0.1486, Val A:94.75, LR:1.953125e-08
